Year,Name,Revenue,Rank,Twitter,Sector
2021,Walmart,559151,1,"""[Walmart,WalmartInc,Walmarttech,walmartindia,WalmartCanada,WalmartAction]""",Retailing
2021,Amazon,386064,2,"""[amazon,awscloud,AmazonKindle,amazonmusic,amazonIN,amazonnews,AmazonUK,alexa99,PrimeVideo,amazonluna,amazonappstore,AMZNGameStudios,AmazonMusicUK,amazonbooks,AmazonStudios,AmazonMusicIN,amazonwatch,amazonfresh,amazonpay,amazonfiretv,amazongames,amazonca,AmazonAssociate,AmazonFashion,primestudent,PrimeVideoIN,AmazonBusiness,AmazonScience,AmazonAustralia,AmazonAds,AmazonFireTVInd,AmazonNewsUK,KindleIndia,AmazonNewsEU,AmazonPhotos,AmazonNews_IN,AmazonFashionIN,AmazonAlexaIN]""",Retailing
2021,Apple,274515,3,"""[Apple,AppleMusic,AppleTV,AppleTVPlus,AppleNews,ApplePodcasts,AppleEDU,iTunes,AppStore]""",Technology
2021,CVS,268706,4,"""[cvspharmacy,CVSHealth,CVSinAction,CVSHealthIR,CVSPublicPolicy]""",Healthcare
2021,UnitedHealth Group,257141,5,"""[UnitedHealthGrp]""",Healthcare
2021,Berkshire Hathaway,245510,6,null,Finance
2021,McKesson,231051,7,"""[McKesson]""",Healthcare
2021,AmerisourceBergen,189893.9,8,"""[Healthcare_ABC]""",Healthcare
2021,Alphabet,182527,9,"""[Google,googlemaps,GooglePlay,GoogleForEdu,googleanalytics,GoogleAI,googledrive,madebygoogle,GoogleTrends,googlenews,GoogleIndia,GoogleStadia,googlesearchc,Google_Comms,GoogleAds,AdSense,GoogleWorkspace,GooglePay,searchliaison,googledevs,googleUK,googlephotos,googlenest,GoogleARVR,GoogleStartups,googlearts,googlefi,googleearth,GVteam,googlefiber,googleeurope,googlebooks,Googleorg,talksatgoogle,googledocs,WearOSbyGoogle,GoogleNewsInit,GoogleDoodles,GooglePayIndia,GoogleATAP,GoogleDesign,googlecloud,googlecalendar,googlestudents,YouTube,GoogleInCA,ThinkwithGoogle,YouTubeMusic,googlefonts,inboxbygmail,lifeatgoogle,Waymo,GoogleHealth,EarthOutreach,googlechrome,googlenonprofit,CapitalG,gmail,googlepublic,GoogleCivics,googleaccess,GoogleCloud_IN,GoogleAdManager,GoogleCloudTech,gcloudpartners,googlereader]""",Technology
2021,Exxon Mobil,181502,10,"""[exxonmobil,ExxonMobil_EU,ExxonMobil_UK,exxonmobil_ind,XOMFoundation,exxonmobil_aus,exxonmobil_my,ExxonMobil_PNG,exxonmobil_sg,exxonmobilbmt,XOM_Chemical,ExxonMobil_ID,ExxonMobil_GER,exxonmobil_th]""",Energy
2021,AT&T,171760,11,"""[ATT,attcyber,ItsOnATT]""",Technology
2021,Costco,166761,12,"""[Costco]""",Retailing
2021,Cigna,160401,13,"""[Cigna]""",Healthcare
2021,Cardinal Health,152922,14,"""[cardinalhealth]""",Healthcare
2021,Microsoft,143015,15,"""[Microsoft,Windows,Azure,Office,surface,msonenote,msftsecurity,MicrosoftEdge,MSFSofficial,onedrive,MicrosoftUK,msdev,OneNoteEDU,MicrosoftEDU,MicrosoftIoT,MicrosoftDesign,Outlook,MSFTnews,MSFTResearch,microsoftcanada,OpenAtMicrosoft,bing,MicrosoftIndia,msexcel,MicrosoftStore,MSFTIssues,msPartner,MSFTMechanics,SharePoint,microsofttech,MSPowerAutomate,MicrosoftPress,SQLServer,HoloLens,MS_Ignite,msuspartner,MSFTMobility,Lumia,MicrosoftIPC,MicrosoftToDo,MSPowerApps,MicrosoftTeams,M12vc,MSN,Microsoft365,Skype,MSPowerBI,docsmsft,powerpoint,microsoftidc,msftClarity,mslearningcurve,MSCloud,AzureDevOps,SwiftKey,msft4startups,MSFTGameDev,MsftSecIntel,whymicrosoft,Microsoft_Gov,MSEdgeDev,VisualStudio,MSEurope,MSFTAdvertising,msdevUK,MSFTExchange,MicrosoftLearn,Microsoft_Green,MSPTNR_Innovate,MicrosoftASIA,MSEducationUK,MSFT_Business,MSMakeCode,MicrosoftLife,Health_IT,Xbox,MSFT365news,Microsoft_SG,mspartnersuk,MSFTBayArea,LearnTV,msdevindia]""",Technology
2021,Walgreens,139537,16,"""[Walgreens,WalgreensNews,WBA_Global]""",Food
2021,Kroger,132498,17,"""[kroger,KrogerNews,Kroger_Health]""",Food
2021,Home Depot,132110,18,"""[HomeDepot,HomeDepotCanada,HomeDepotGR,HomeDepotFound,HomeDepotRetool]""",Retailing
2021,J.P. Morgan,129503,19,"""[jpmorgan,JPMorganAM,Chase]""",Finance
2021,Verizon,128292,20,"""[Verizon,verizonfios,VerizonBusiness,VerizonNews,vzpublicsector,VerizonVentures,VerizonConnect,VerizonPolicy,InsideVerizon,VerizonMediaN,VerizonGreen,VZBizMarkets]""",Technology
2021,Ford Motor,127144,21,"""[Ford,FordTrucks,FordFoundation,FordPerformance,forduk,FordAustralia,FordIreland,thehenryford,FordIndia,fordfield,FordPhilippines,FordSouthAfrica,FordNigeria,FordKenya,FordFund,FordRSOC,FordMustang,FordCredit,FordPro]""",Transportation
2021,General Motors,122485,22,"""[GM,MFG_GM,GMFleet,GMC,gmfinancial]""",Transportation
2021,Anthem,121867,23,"""[AnthemInc,ThinkAnthem,AnthemFDN]""",Healthcare
2021,Centene,111115,24,"""[Centene,CenteneCtrWUSTL]""",Healthcare
2021,Fannie Mae,106437,25,"""[FannieMae,lifeatfanniemae]""",Finance
2021,Comcast,103564,26,"""[comcast,comcastbusiness,ComcastVentures,ComcastNewsmkrs,ComcastMilitary,LIFT_Labs,ComcastPolicy,ComcastTechSoln,ComcastCA,ComcastILLINOIS,OUTComcast,ComcastWomen,ComcastFL,ComcastSport]""",Technology
2021,Chevron,94692,27,"""[Chevron,ChevronSTEMZone]""",Energy
2021,Dell,94224,28,"""[Dell,DellXPS,DellTech]""",Technology
2021,Bank of America,93753,29,"""[BankofAmerica,BofA_News,BofAPrivateBank,BofA_Business,MerrillLynch]""",Finance
2021,Target,93561,30,"""[Target,TargetNews]""",Retailing
2021,Lowe's,89597,31,"""[Lowes,LowesMedia,Lowes_Canada,LowesFoods,LowesLabs]""",Retailing
2021,Marathon,88952,32,"""[MarathonPetroCo,Andeavor]""",Energy
2021,Citigroup,88839,33,"""[Citi,Citi973,CitiBikeNYC,CitiOpen,CitiBizNews,CitiVentures,Citibank]""",Finance
2021,Facebook,85965,34,"""[Meta,WorkplaceMeta,MetaforBusiness,MetaNewsroom,facebookapp,MetaQuestGaming,MetaforCreators,techatfacebook,MetaQuestVR,fb_engineering,DesignatMeta,MetaAI,MetaOpenSource,metaindia,MetaElevate,RealityLabs,facebook,FacebookGaming,MetaforDevs,instagram,WhatsApp,whatsappbiz,Oculus_Dev,OculusBusiness]""",Technology
2021,United Parcel Service,84628,35,"""[UPS,UPSAirlines,TheUPSStore,UPSCapital,UPS_News,UPS_UK,UPSPolicy,UPS_Canada,UPS_Foundation,UPS_Europe,UPS_Healthcare,UPS_EUPolicy]""",Transportation
2021,Johnson & Johnson,82584,36,"""[JNJNews,johnsonsbaby,JNJHistory]""",Healthcare
2021,Wells Fargo,80303,37,"""[WellsFargo,WFInvestments]""",Finance
2021,General Electric,79619,38,"""[generalelectric,GE_Canada,Gepublicaffairs,GEAustralia,GEAviation]""",Industrials
2021,State Farm Insurance,78898,39,"""[StateFarm]""",Finance
2021,Intel,77867,40,"""[intel,IntelGaming,WeAreIntel,intelnews,inteliot,IntelBusiness,intelcapital,IntelIndia,IntelGraphics,IntelSecurity,IntelPolicy,IntelDevTools]""",Technology
2021,Humana,77155,41,"""[Humana,humananews,HumanaFDN]""",Healthcare
2021,IBM,73620,42,"""[IBM,IBMData,IBMResearch,IBMWatson,IBMCloud,IBMIoT,IBMDeveloper,ibmdesign,IBMNews,IBMCanada,IBMEuropePolicy,IBMSecurity,IBMSports,IBMPolicy,IBMPartners,IBMEurope,IBMUKI,IBMAnalyst,IBMServers,ibm_in,IBMBlockchain,IBMZ,lifeatibm,IBMFacts,ibmconsulting,IBM_iX,IBMStorage]""",Technology
2021,Procter & Gamble,70950,43,"""[ProcterGamble,PGUK,PandGBRK]""",Household
2021,PepsiCo,70372,44,"""[PepsiCo,PepsiCoIndia,pepsico_uk,PepsiCoUKTrade,PepsiCoSD,pepsi]""",Food
2021,FedEx,69217,45,"""[FedEx,FedExOffice,FedExEurope,FedExCanada,FedExPolicy,FedExIndia,FedexInstitute]""",Transportation
2021,MetLife,67842,46,"""[MetLife,PNBMetLife1,MetLife_Pet]""",Finance
2021,Freddie Mac,66228,47,"""[FreddieMac,FreddieMacSF]""",Finance
2021,Phillips 66,65494,48,"""[Phillips66Co,Phillips66Gas,Phillips66UK,P66Aviation,phillips66media]""",Energy
2021,Lockheed Martin,65398,49,"""[LockheedMartin,lmnews,LMUKNews,LMSpace,thef35,LMIndiaNews,LMCanadaNews,LMEuropeNews]""",Aerospace and Defence
2021,Walt Disney,65388,50,"""[DisneyStudios,WaltDisneyWorld,WaltDisneyCo,WDFMuseum,DisneyMusic,Disney,TWDCArchives,DisneyAnimation,DisneyStudiosCA,DisneyParks,Disney_UK,DisneyStudiosIN,disneybroadway,disneyplus,disneyplusza,shopDisney,Disneyland,DisneyBooks,DisneyChannel,DisneyChannelUK,DisneyXD,DisneyTVA,DisneyCSR,DisneyJunior]""",Media
2021,Archer Daniels Midland,64355,51,"""[TradeADMIS,ADMupdates,ADMAustralia]""",Food
2021,Albertsons,62455.1,52,"""[Albertsons]""",Food
2021,Valero Energy,60115,53,"""[ValeroEnergy,ValeroBRK]""",Energy
2021,Boeing,58158,54,"""[Boeing,BoeingAirplanes,BoeingSpace,BoeingUK,BoeingDefense,Boeing_In,BoeingAustralia,BoeingEurope,BoeingAcademy]""",Aerospace and Defence
2021,Prudential Financial,57033,55,"""[Prudential,PrudentialNews,pgim]""",Finance
2021,Hewlett-Packard,56639,56,"""[hp,HPUK,HP_Newsroom,HPChannelNews,HPSustainable,HPdeals,OMENbyHP,HPGraphicArts,hplabs,HPIndia,HPEDU,HPBusiness,OMENbyHP_UK,HP_Australia]""",Technology
2021,Raytheon,56587,57,"""[RaytheonTech,RaytheonIntel,RaytheonDefense,RaytheonPolicy,Raytheon_UK]""",Aerospace and Defence
2021,StoneX,54139.6,58,"""[StoneX_Official]""",Finance
2021,Goldman Sachs Group,53498,59,"""[GoldmanSachs,marcus_uk,marcus]""",Finance
2021,Sysco,52893.3,60,"""[Sysco,SyscoCanada,SYSCOSOFTWARE]""",Wholesalers
2021,Morgan Stanley,52047,61,"""[MorganStanley,etrade]""",Finance
2021,HCA,51533,62,"""[HCAhealthcare,HCAHospitalsUK]""",Healthcare
2021,Cisco Systems,49301,63,"""[Cisco,CiscoCollab,CiscoLive,CiscoPress,LearningatCisco,CiscoNetworking,CiscoSecure,ciscoDC,CiscoPartners,CiscoIT,meraki,Webex,CiscoIoT,CiscoUKI,CiscoCloud,CiscoEvents,CiscoSoftware,WeAreCisco,cisco_in]""",Technology
2021,Charter,48097,64,"""[charterworks,CharterNewsroom]""",Technology
2021,Merck,47994,65,"""[Merck,merckgroup,MerckforMothers,MerckAH,USMerckProducts,MerckHealthcare,MerckManualPro,MerckFoundation,MerckIndia]""",Healthcare
2021,Best Buy,47262,66,"""[BestBuy,BBYNews,BestBuyCanada,BestBuyCSR,BestBuy_Deals,BBYInfluencers,BestBuyBusiness,BestBuyEdu]""",Retailing
2021,New York Life Insurance,46712.4,67,"""[NewYorkLife,NYLInvestments]""",Finance
2021,AbbVie,45804,68,"""[abbvie,abbvieuk,abbviecanada,AbbVieUS,AbbVie_AU,AbbVieCM]""",Healthcare
2021,Publix Super Markets,45204,69,"""[Publix,PublixGWM]""",Food
2021,Allstate,44791,70,"""[Allstate,AllstatePP,AllstateCanada,AllstateFDN,AllstateIDP]""",Finance
2021,Liberty Mutual,43796,71,"""[LibertyMutual,LibertyB2B,Liberty_IT]""",Finance
2021,AIG,43736,72,"""[AIGInsurance,TataAIGIndia]""",Finance
2021,Tyson Foods,43185,73,"""[TysonFoods,TysonBrand,tysonfoods_au,TysonFoodsLive,TysonFoodsNews]""",Food
2021,Progressive,42658.1,74,"""[Progressive]""",Finance
2021,Bristol-Myers Squibb,42518,75,"""[bmsnews,ScienceAtBMS]""",Healthcare
2021,Nationwide,41929.8,76,"""[Nationwide,nationwidekids,NW_Sports,NationwidePet,NWFinancial]""",Finance
2021,Pfizer,41908,77,"""[pfizer,Pfizer_UK,PfizerEUPolicy,PfizerCongress,PfizerCA,PfizerOncMed]""",Healthcare
2021,Caterpillar,41748,78,"""[CaterpillarInc,CatFoundationTS,shopcatuk]""",Industrials
2021,TIAA,41619.3,79,"""[TIAA,TIAABankField,NuveenInv,TIAABank,TIAAInstitute]""",Finance
2021,Oracle,39068,80,"""[Oracle,redbullracing,OracleDatabase,OracleCloudHCM,OracleLinux,OracleParkSF,virtualbox,OracleCloudERP,OracleExadata,OracleAPEX,Oracle_EBS,OracleCloudSCM,OracleCloud,oracleasean,OracleMarketing,OracleDevs,OracleDataCloud,CloudWorld,oraclepartners,Oracle_Edu,OracleConnect,OracleFS,OracleNews,OracleRetail,OracleJDEdwards,bridge_oracle,OracleHosp,Oracle_India,OracleDiversity,OracleStartup,OracleConsult,ORCLCitizenship,ORCLEnergyWater]""",Technology
2021,Energy Transfer,38954,81,"""[EnergyTransfer]""",Energy
2021,Dow,38542,82,"""[DowNewsroom,DowPackaging,dowsilicones,DowEurope,DowPolicy]""",Industrials
2021,American Express,38185,83,"""[AmericanExpress,AmexUK,AmexBusiness,AmexBusinessUK,AmexBusinessCan,amexgbt,KabbageInc,theamexgolf,AMEXessentials]""",Finance
2021,General Dynamics,37925,84,"""[generaldynamics,GDMS,GD_LandSystems,GD_OTS,gduknews,GDMS_C,GDIT,GDBIW,GDElectricBoat]""",Aerospace and Defence
2021,Nike,37403,85,"""[Nike,nikesb,nikefootball,nikebasketball,Jumpman23,usnikefootball,NikeNYC,nikestore,nikegolf,NikeLA,nikediamond,NikeN7]""",Apparel
2021,Northrop Grumman,36799,86,"""[northropgrumman,NGCNews,CEOLaser]""",Aerospace and Defence
2021,USAA,36296.2,87,"""[USAA,USAA_jobs]""",Finance
2021,Deere,35540,88,"""[JohnDeere,JDClassic,TPCDeereRun]""",Industrials
2021,Abbott Laboratories,34608,89,"""[AbbottNews,AbbottGlobal]""",Healthcare
2021,Northwestern Mutual,33782.1,90,"""[NM_Financial,NMFuture,NMGreatChicago,NMMeetings]""",Finance
2021,Dollar General,33746.8,91,"""[DollarGeneral,DGYellowGlasses]""",Retailing
2021,Exelon,33039,92,"""[Exelon]""",Energy
2021,Coca-Cola,33014,93,"""[CocaCola,CocaCola_GB,CocaColaCo,cocacola_ca,WorldofCocaCola,CocaColaRacing,CocaColaEP,ccfreestyle,CocaColaRoxy,cocacolaarena,cokescholars,DietCoke,CocaCola_Ind,CocaColaCo_ca,CocaColaAU,CocaColaAU_Co,MaazaIndia,HCCB_Official,CocaColaSanta,CocaCola_EU]""",Food
2021,Honeywell International,32637,94,"""[honeywell,Honeywell_Aero,HoneywellArts,HoneywellWheat,HoneywellFoods,HoneywellBiscCo]""",Industrials
2021,Thermo Fisher Scientific,32218,95,"""[thermofisher,AspireMembers,thermofisherEU,ChromSolutions,BioSciencesLtd,thermosci,Patheon]""",Technology
2021,3M,32184,96,"""[3M,3MOpen,3mhalfmarathon,3MNews,3MUK,3MIndia,3MSafety,3MHealthCare,3MCollision,3MAustria,3MOralCare,3MScott,3MCanada,3mcarcareindia,3MFilmsUK,3MHISNews,3MScotchlite,3MScreens,3MFilms,3MEurope,Atlantic_3Ms,3MBIC]""",Industrials
2021,TJX,32137,97,"""[tjmaxx]""",Retailing
2021,Travelers,31981,98,"""[Travelers,TravelersChamp]""",Finance
2021,Capital One,31643,99,"""[CapitalOne,CapitalOneArena,CapitalOneCafe,capitalonenews,CapitalOneTech,CapitalOneUK,CapitalOneBiz,CapitalOneCA,IAmCapitalOne,TeamShopAtCOA]""",Finance
2021,Tesla,31536,100,"""[Tesla,TeslaBand,elonmusk,teslascience,TeslaMotorsClub]""",Transportation
2021,Philip Morris International,28694,101,"""[InsidePMI]""",Food
2021,Arrow Electronics,28673.4,102,"""[ArrowGlobal,Richardson_RFPD,arrowasia]""",Wholesalers
2021,CHS,28406.4,103,"""[CHSInc,hedgeit,CHSGovAffairs]""",Food
2021,Jabil,27266.4,104,"""[Jabil,NyproHealthcare,SW_services,JabilDefense]""",Technology
2021,Enterprise Products,27199.7,105,"""[Eprod_Careers]""",Energy
2021,Hewlett Packard Enterprise,26982,106,"""[HP,HPUK,HP_newsroom,HPChannelNews,HPSustainable,HPCareers,Hpdeals,OMENbyHP,HPSingapore,hplabs,HPEDU,HPIndia,HPBusiness,HPE_labs,HPE,HPE_OEM,HPE_IN]""",Technology
2021,United Natural Foods,26742.8,107,"""[UNFI]""",Wholesalers
2021,Mondelez International,26581,108,"""[MDLZ]""",Food
2021,Viacom,26186,109,"""[viacom18,Viacom18Studios,VIMN_PR,viacbsstreaming,ViacomStudiosUK,HEREAtViacom,ViaCBS_VF,Viacom18Store,ViacomGenChange,ViacomMusic,Viacommunity]""",Media
2021,Kraft Heinz,26185,110,"""[KraftBrand,kraftmacncheese,KraftHeinzCo,KraftSingles,KraftPB,kraftcheese,KraftHeinzCan,RealKraftMayo,HeinzUK]""",Food
2021,Dollar Tree,25509.3,111,"""[DollarTree]""",Retailing
2021,Amgen,25424,112,"""[Amgen,AmgenTOC,AmgenOncology,AmgenFoundation,AmgenBiosim,theamgen,AmgenCanadaGM]""",Healthcare
2021,U.S. Bancorp,25241,113,"""[usbank,usbank_news,bancorpventures,usbankstadium]""",Finance
2021,Performance Food Group,25086.3,114,"""[performncefoods,PFGCareers]""",Wholesalers
2021,Netflix,24996.1,115,"""[netflix,NetflixUK,NetflixFilm,NetflixIndia,Netflix_CA,NetflixGeeked,NetflixNordic,NetflixIsAJoke,TheCrownNetflix,WeAreNetflix,StarTrekNetflix,NetflixEng,dvdnetflix,Netflixfood]""",Media
2021,Gilead Sciences,24689,116,"""[GileadSciences,GileadOncology]""",Healthcare
2021,Synnex,24675.6,117,"""[SYNNEX,TDSYNNEX,SYNNEXFinancial,Varnex]""",Wholesalers
2021,Eli Lilly,24539.8,118,"""[LillyPad,LillyPadEU,LillyRheumEU]""",Healthcare
2021,Truist Financial,24427,119,"""[TruistNews,TruistPark,truistinc]""",Finance
2021,PNC Financial Services,24039,120,"""[PNCArena,PNCBank,PNCNews,PNCArtsCenter,PNCParkEvents,PNCStadium]""",Finance
2021,Broadcom,23888,121,"""[Broadcom,symantec,BroadcomVSM,AppNeta,BroadcomSW,BroadcomSTEM,BroadcomMSD,BroadcomSwitch,BroadcomAIOps,ConnectBroadcom]""",Technology
2021,CB Richard Ellis,23826.2,122,"""[CBREAmericas,CBRE,CBRE_UK,cbreNewZealand,cbrecapitalmkts,CBREHongKong,CBRESoCal,CBRENYTriState,cbreasia,cbrechicago,CBRE_India,CBREcolorado,CBRERetail,cbrebuild_nyc,cbremultifamily,CBRE_IM,cbredatacenters,CBREworkplace,CBREIndustrial,CBRETechMedia,CBREHotels,cbrepropmgmt,cbrepjm]""",Finance
2021,Massachusetts Mutual,23663.1,123,"""[massmutual,Massgov,MM_Center,CambridgeAid]""",Finance
2021,Qualcomm,23531,124,"""[Qualcomm,QualcommVenture,qualcomm_in,Snapdragon,QCOMResearch,Qualcomm_EU,QI_UCSD,QualcommforGood,QualcommPolicy,QC_EUPolicy]""",Technology
2021,Starbucks,23518,125,"""[Starbucks,StarbucksUK,StarbucksCanada,StarbucksIndia,StarbucksNews,StarbucksAu,StarbucksIE,starbucksmusic,starbucks_gb]""",Food
2021,Duke Energy,23453,126,"""[DukeEnergy,DukeUEnergy,DE_Nuclear,DECRaleigh]""",Energy
2021,Plains GP Holdings,23290,127,null,Energy
2021,US Foods,22885,128,"""[USFoods]""",Wholesalers
2021,Lennar,22488.9,129,"""[Lennar]""",Industrials
2021,Danaher,22284,130,"""[DanaherCorp]""",Healthcare
2021,Aflac,22147,131,"""[aflac]""",Finance
2021,Rite Aid,21928.4,132,"""[riteaid]""",Food
2021,Visa,21846,133,"""[Visa,VisaUK,VisaNews,VisaCheckout,VisaSecurity,VisaIreland,VisaAU,VisaDeveloper,Visa_IND,VisaCA]""",Finance
2021,PayPal,21454,134,"""[PayPal,PayPalNews,PayPalUK,PayPal4Business,paypaldev,PayPalAU,PayPalCA,ZettlebyPayPal,PayPalIN,PayPalEng,PayPal_Policy,PayPalPark]""",Finance
2021,Micron Technology,21435,135,"""[MicronTech,MicronCEO]""",Technology
2021,CarMax,21424.1,136,"""[CarMax,carmaxautocare]""",Retailing
2021,Salesforce,21252,137,"""[salesforce,SalesforceOrg,SalesforceEng,SalesforceNews,salesforcesmb,SalesforceDevs,SalesforceAdmns,appexchange,partnerforce,SalesforceUX,SalesforceEQ,SFResearch,SalesforceUK,salesforcedocs,SalesforceforIT,salesforce_IR,SalesforceVC,SalesforceQuip,SalesforceCA,SalesforceEdu,SalesforceGov,salesforcestart,salesforceind,Datorama,SalesforceLive,SalesforceArchs,Salesforceben,Salesforce_labs,ServiceCloud]""",Technology
2021,Altria Group,20841,138,"""[AltriaNews]""",Food
2021,Lumen Technologies,20712,139,"""[lumendatabase,lumentechco,StellarOrg,lumenprize,LumenField]""",Technology
2021,Baker Hughes,20705,140,"""[bakerhughesco,bakerhughes_ME]""",Energy
2021,International Paper,20580,141,"""[IntlPaperCo,IntlPaperGR]""",Industrials
2021,Hartford Financial Services,20523,142,"""[TheHartford,HartfordBiz]""",Finance
2021,Penske Automotive Group,20443.9,143,"""[Team_Penske,PenskeMedia,PenskeNews,PenskeMoving,PenskeLogistics,penskeautomall,PenskeUsedTruck,PenskeCars]""",Retailing
2021,DuPont,20397,144,"""[DuPont_News,PioneerSeeds]""",Industrials
2021,AutoNation,20390,145,"""[AutoNation,imaxftl]""",Retailing
2021,Southern,20375,146,"""[SouthernGas,SouthernCoGas,SouthernCompany]""",Energy
